time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 09:00:00+00:00,2634.019,2635.909,2632.875,2635.779,6178,400,0
2025-01-02 10:00:00+00:00,2635.789,2637.63,2630.979,2636.409,8905,400,0
2025-01-02 11:00:00+00:00,2636.419,2639.75,2635.86,2635.975,8722,400,0
2025-01-02 12:00:00+00:00,2635.98,2646.13,2632.575,2642.645,14621,400,0
2025-01-02 13:00:00+00:00,2642.655,2644.485,2640.235,2641.82,11184,400,0
2025-01-02 14:00:00+00:00,2641.825,2646.275,2640.21,2643.289,13005,400,0
2025-01-02 15:00:00+00:00,2643.235,2647.1,2635.915,2642.745,22486,400,0
2025-01-02 16:00:00+00:00,2642.715,2650.935,2640.155,2647.625,21036,400,0
2025-01-02 17:00:00+00:00,2647.62,2655.735,2645.035,2653.96,23304,400,0
2025-01-02 18:00:00+00:00,2653.94,2660.35,2649.85,2659.18,20114,400,0
2025-01-02 19:00:00+00:00,2659.195,2660.335,2652.39,2656.415,13618,400,0
2025-01-02 20:00:00+00:00,2656.435,2658.705,2653.615,2655.28,12173,400,0
2025-01-02 21:00:00+00:00,2655.285,2657.035,2653.68,2654.57,10395,400,0
2025-01-02 22:00:00+00:00,2654.565,2660.34,2654.03,2659.535,10075,400,0
2025-01-02 23:00:00+00:00,2659.51,2660.075,2656.415,2657.89,2994,400,0
2025-01-03 01:00:00+00:00,2657.929,2659.519,2657.639,2658.29,1784,400,0
2025-01-03 02:00:00+00:00,2658.3,2661.045,2658.24,2660.62,3755,400,0
2025-01-03 03:00:00+00:00,2660.63,2662.399,2656.519,2659.339,7712,400,0
2025-01-03 04:00:00+00:00,2659.269,2663.879,2656.11,2662.425,9290,400,0
2025-01-03 05:00:00+00:00,2662.39,2665.155,2661.079,2662.159,6282,400,0
2025-01-03 06:00:00+00:00,2662.139,2664.22,2661.599,2662.695,3059,400,0
2025-01-03 07:00:00+00:00,2662.685,2662.785,2655.809,2658.415,5613,400,0
2025-01-03 08:00:00+00:00,2658.449,2660.25,2656.585,2659.53,5600,400,0
2025-01-03 09:00:00+00:00,2659.349,2659.44,2651.785,2654.15,8384,400,0
2025-01-03 10:00:00+00:00,2654.075,2655.689,2649.695,2652.865,11837,400,0
2025-01-03 11:00:00+00:00,2652.855,2655.77,2652.685,2653.525,9608,400,0
2025-01-03 12:00:00+00:00,2653.53,2657.885,2652.925,2657.575,8578,400,0
2025-01-03 13:00:00+00:00,2657.6,2659.2,2656.225,2657.455,8572,400,0
2025-01-03 14:00:00+00:00,2657.55,2658.2,2654.655,2655.205,8399,400,0
2025-01-03 15:00:00+00:00,2655.17,2656.209,2643.33,2649.685,17920,400,0
2025-01-03 16:00:00+00:00,2649.69,2652.525,2645.009,2647.359,21933,400,0
2025-01-03 17:00:00+00:00,2647.009,2648.135,2640.835,2643.765,22443,400,0
2025-01-03 18:00:00+00:00,2643.755,2647.15,2638.91,2639.83,16162,400,0
2025-01-03 19:00:00+00:00,2639.855,2642.56,2638.945,2641.71,10431,400,0
2025-01-03 20:00:00+00:00,2641.72,2642.215,2639.58,2641.78,10014,400,0
2025-01-03 21:00:00+00:00,2641.805,2642.835,2638.995,2639.315,7326,400,0
2025-01-03 22:00:00+00:00,2639.36,2639.985,2636.74,2638.14,8248,400,0
2025-01-06 03:00:00+00:00,2643.01,2647.28,2640.63,2641.245,11935,400,0
2025-01-06 04:00:00+00:00,2641.235,2645.13,2639.68,2644.36,7842,400,0
2025-01-06 05:00:00+00:00,2644.35,2645.189,2639.039,2640.035,6685,400,0
2025-01-06 06:00:00+00:00,2640.025,2640.695,2634.119,2635.339,5745,400,0
2025-01-06 07:00:00+00:00,2635.309,2636.109,2631.419,2633.769,8700,400,0
2025-01-06 08:00:00+00:00,2633.799,2635.16,2630.079,2631.349,8416,400,0
2025-01-06 09:00:00+00:00,2631.359,2633.5,2625.099,2626.729,8512,400,0
2025-01-06 10:00:00+00:00,2626.729,2632.45,2625.62,2631.369,9289,400,0
2025-01-06 11:00:00+00:00,2631.38,2635.57,2631.029,2632.605,8738,400,0
2025-01-06 12:00:00+00:00,2632.6,2634.955,2630.825,2633.61,7971,400,0
2025-01-06 13:00:00+00:00,2633.58,2649.315,2632.475,2645.495,19226,400,0
2025-01-06 14:00:00+00:00,2645.52,2647.805,2641.855,2645.239,14637,400,0
2025-01-06 15:00:00+00:00,2645.239,2648.775,2621.825,2624.139,23060,400,0
2025-01-06 16:00:00+00:00,2624.129,2634.729,2614.429,2631.495,24659,400,0
2025-01-06 17:00:00+00:00,2631.239,2639.455,2629.24,2634.21,21180,400,0
2025-01-06 18:00:00+00:00,2634.195,2641.165,2632.4,2640.645,14619,400,0
2025-01-06 19:00:00+00:00,2640.65,2640.94,2634.025,2636.56,10575,400,0
2025-01-06 20:00:00+00:00,2636.595,2638.475,2633.655,2634.505,10966,400,0
2025-01-06 21:00:00+00:00,2634.515,2635.325,2632.765,2634.17,8634,400,0
2025-01-06 22:00:00+00:00,2634.2,2635.32,2632.985,2634.415,7339,400,0
2025-01-06 23:00:00+00:00,2634.42,2636.86,2634.42,2636.23,3022,400,0
2025-01-07 01:00:00+00:00,2635.369,2635.369,2633.439,2634.475,1424,400,0
2025-01-07 02:00:00+00:00,2634.525,2635.14,2632.75,2634.95,3409,400,0
2025-01-07 03:00:00+00:00,2634.885,2641.029,2634.669,2638.87,10456,400,0
2025-01-07 04:00:00+00:00,2638.865,2639.995,2636.79,2638.51,7324,400,0
2025-01-07 05:00:00+00:00,2638.515,2640.215,2637.469,2639.465,3982,400,0
2025-01-07 06:00:00+00:00,2639.445,2639.685,2637.305,2638.119,3467,400,0
2025-01-07 07:00:00+00:00,2638.079,2645.589,2636.939,2644.309,6461,400,0
2025-01-07 08:00:00+00:00,2644.285,2646.589,2639.659,2640.089,7685,400,0
2025-01-07 09:00:00+00:00,2640.099,2641.99,2637.88,2640.415,8264,400,0
2025-01-07 10:00:00+00:00,2640.42,2644.69,2639.999,2642.499,10076,400,0
2025-01-07 11:00:00+00:00,2642.49,2643.9,2639.94,2641.209,8273,400,0
2025-01-07 12:00:00+00:00,2641.209,2644.67,2641.129,2643.759,7227,400,0
2025-01-07 13:00:00+00:00,2643.759,2648.58,2641.92,2648.335,8422,400,0
2025-01-07 14:00:00+00:00,2648.28,2652.665,2647.23,2651.599,11173,400,0
2025-01-07 15:00:00+00:00,2651.559,2664.165,2649.86,2662.275,22494,400,0
2025-01-07 16:00:00+00:00,2662.385,2662.87,2655.679,2658.265,20972,400,0
2025-01-07 17:00:00+00:00,2658.26,2658.26,2641.945,2647.56,26179,400,0
2025-01-07 18:00:00+00:00,2647.519,2655.51,2646.4,2651.685,18835,400,0
2025-01-07 19:00:00+00:00,2651.655,2655.94,2650.175,2652.43,13555,400,0
2025-01-07 20:00:00+00:00,2652.39,2652.55,2647.16,2649.04,12876,400,0
2025-01-07 21:00:00+00:00,2649.045,2650.205,2646.86,2649.18,12495,400,0
2025-01-07 22:00:00+00:00,2649.185,2651.305,2647.105,2650.235,9145,400,0
2025-01-07 23:00:00+00:00,2650.245,2650.27,2647.709,2648.56,2691,400,0
2025-01-08 01:00:00+00:00,2648.979,2650.01,2648.149,2649.705,1517,400,0
2025-01-08 02:00:00+00:00,2649.7,2651.42,2648.58,2650.425,3548,400,0
2025-01-08 03:00:00+00:00,2650.44,2650.835,2647.065,2648.73,9156,400,0
2025-01-08 04:00:00+00:00,2648.705,2650.209,2645.805,2648.8,5683,400,0
2025-01-08 05:00:00+00:00,2648.64,2648.72,2645.44,2646.675,5027,400,0
2025-01-08 06:00:00+00:00,2646.67,2648.555,2645.165,2646.87,3573,400,0
2025-01-08 07:00:00+00:00,2646.825,2650.68,2646.555,2650.01,6728,400,0
2025-01-08 08:00:00+00:00,2650.0,2652.9,2648.9,2652.0,8044,400,0
2025-01-08 09:00:00+00:00,2651.949,2654.305,2651.52,2652.545,7022,400,0
2025-01-08 10:00:00+00:00,2652.55,2653.69,2649.49,2651.875,9820,400,0
2025-01-08 11:00:00+00:00,2651.855,2654.915,2651.75,2653.389,8728,400,0
2025-01-08 12:00:00+00:00,2653.399,2655.03,2652.575,2652.925,8061,400,0
2025-01-08 13:00:00+00:00,2652.955,2652.955,2647.499,2650.765,12477,400,0
2025-01-08 14:00:00+00:00,2650.719,2652.37,2645.725,2651.905,12634,400,0
2025-01-08 15:00:00+00:00,2651.895,2660.21,2651.5,2660.17,20756,400,0
2025-01-08 16:00:00+00:00,2660.195,2667.485,2659.93,2661.285,22872,400,0
2025-01-08 17:00:00+00:00,2661.275,2667.64,2659.28,2665.68,20095,400,0
2025-01-08 18:00:00+00:00,2665.69,2669.86,2662.455,2669.48,15087,400,0
2025-01-08 19:00:00+00:00,2669.465,2669.675,2649.249,2655.625,17314,400,0
2025-01-08 20:00:00+00:00,2655.615,2659.08,2651.465,2653.039,13466,400,0
2025-01-08 21:00:00+00:00,2653.039,2660.48,2652.315,2658.189,12754,400,0
2025-01-08 22:00:00+00:00,2658.21,2663.99,2658.21,2663.345,10295,400,0
2025-01-08 23:00:00+00:00,2663.335,2663.965,2660.609,2661.62,3834,400,0
2025-01-09 01:00:00+00:00,2662.159,2663.079,2661.888,2662.379,1002,400,0
2025-01-09 02:00:00+00:00,2662.429,2662.719,2659.345,2659.89,3367,400,0
2025-01-09 03:00:00+00:00,2659.895,2661.275,2657.059,2658.309,8156,400,0
2025-01-09 04:00:00+00:00,2658.239,2659.959,2656.295,2658.76,6859,400,0
2025-01-09 05:00:00+00:00,2658.755,2662.02,2658.47,2659.245,5017,400,0
2025-01-09 06:00:00+00:00,2659.205,2659.615,2655.369,2658.849,4258,400,0
2025-01-09 07:00:00+00:00,2658.789,2660.78,2657.489,2658.159,5709,400,0
2025-01-09 08:00:00+00:00,2658.159,2666.775,2658.139,2666.589,7781,400,0
2025-01-09 09:00:00+00:00,2666.619,2666.639,2662.16,2662.26,7171,400,0
2025-01-09 10:00:00+00:00,2662.205,2666.755,2660.33,2664.285,12338,400,0
2025-01-09 11:00:00+00:00,2664.265,2666.375,2662.225,2664.879,8603,400,0
2025-01-09 12:00:00+00:00,2664.799,2668.41,2664.41,2667.359,8627,400,0
2025-01-09 13:00:00+00:00,2667.35,2673.095,2665.14,2670.09,10092,400,0
2025-01-09 14:00:00+00:00,2670.07,2675.005,2669.355,2673.849,9369,400,0
2025-01-09 15:00:00+00:00,2673.839,2678.28,2671.845,2672.59,17530,400,0
2025-01-09 16:00:00+00:00,2672.575,2675.58,2667.099,2672.38,14997,400,0
2025-01-09 17:00:00+00:00,2672.349,2675.23,2667.945,2668.23,12882,400,0
2025-01-09 18:00:00+00:00,2668.225,2670.875,2666.145,2667.515,9911,400,0
2025-01-09 19:00:00+00:00,2667.52,2668.53,2662.56,2665.73,10083,400,0
